position,fen,rubichess_move,rubichess_eval,rubichess_nodes,rubichess_time,rubichess_success,stockfish_move,stockfish_eval,stockfish_nodes,stockfish_time,stockfish_success
96,8/8/2k5/5p2/3K2p1/8/3P4/8 b - - 1 1,g4g3,746,31427,0.022827625274658203,True,c6d6,518,191164,0.0907583236694336,True
97,8/8/2k5/5p2/6p1/2K5/3P4/8 b - - 1 1,g4g3,776,15458,0.01758551597595215,True,c6d5,715,37145,0.03519797325134277,True
98,8/1k6/8/5p2/6p1/1K6/3P4/8 w - - 2 2,b3c2,-781,42725,0.022365570068359375,True,b3c4,-528,126910,0.05023956298828125,True
99,8/8/2k5/5p2/6p1/1K6/3P4/8 b - - 1 1,g4g3,774,24756,0.010850906372070312,True,c6d5,978,175172,0.07950472831726074,True
100,8/8/1p1k4/3p4/3P4/1P1K4/8/8 w - - 0 1,d3e3,0,7383,0.0,True,d3e3,0,12061,0.008275508880615234,True
101,8/8/1p2k3/3p4/1P1P4/3K4/8/8 w - - 1 2,d3d2,-726,21887,0.009620904922485352,True,d3d2,-743,134153,0.052091121673583984,True
102,8/8/1p1k4/3p4/3P4/1P6/4K3/8 b - - 1 1,d6e6,0,3427,0.0,True,d6e6,0,7375,0.003354787826538086,True
103,8/2k5/1p6/3p4/3P4/1P6/2K5/8 w - - 2 2,c2c3,488,37403,0.018257617950439453,True,c2c3,545,78595,0.0395658016204834,True
104,8/8/1p1k4/3p4/3P4/1P2K3/8/8 b - - 1 1,d6e6,0,3332,0.00790858268737793,True,d6e7,0,13415,0.008772850036621094,True
105,8/4k3/1p6/3p4/1P1P4/3K4/8/8 w - - 1 2,d3e3,0,5048,0.002192974090576172,True,d3e3,0,4187,0.00518798828125,True
106,8/8/1p1k4/3p4/3P4/1P6/3K4/8 b - - 1 1,d6e6,0,5413,0.00890493392944336,True,d6e6,0,37859,0.0277557373046875,True
107,8/3k4/1p6/3p4/3P4/1P2K3/8/8 w - - 2 2,e3f4,750,27428,0.016937971115112305,True,e3f4,535,100998,0.05030369758605957,True
108,8/8/8/4k3/4P3/4K3/8/8 w - - 0 1,e3f3,11,10517,0.0038704872131347656,True,e3d3,22,22984,0.016749143600463867,True
109,8/8/8/4k3/4P3/5K2/8/8 b - - 1 1,e5e6,-5,15147,0.020236730575561523,True,e5f6,-19,30033,0.012245416641235352,True
110,8/8/8/4k3/4P3/8/5K2/8 b - - 1 1,e5e4,0,7206,0.009008407592773438,True,e5e4,0,48382,0.03396868705749512,True
111,8/8/8/4k3/4P3/8/4K3/8 b - - 1 1,e5e4,0,5369,0.0,True,e5e4,0,32162,0.01790595054626465,True
112,8/8/8/4k3/4P3/3K4/8/8 b - - 1 1,e5e6,-21,28871,0.013970375061035156,True,e5d6,-17,41439,0.016506433486938477,True
113,8/8/8/8/4Pk2/8/4K3/8 w - - 2 2,e2d3,12,11319,0.01536250114440918,True,e2d3,5,62308,0.03328561782836914,True
